Tchar lag e_lag cent e_cent e_GP
5 27.413987593122542 20.869587324325764 27.4770875063673 20.5546181635561 0.5799066907854162
10 25.641124912280702 24.74991756119114 24.64693893614035 24.32797968855317 0.7252271284210526
15 nan nan nan nan nan
20 26.316709475987974 20.348167671587458 25.165284324318904 19.98388396149356 0.8344576814493401
25 29.381752391679065 16.566376476323615 28.144237506323538 16.222337169862655 0.8672653274965373
30 28.79577468860854 14.956781130689334 27.958538429202545 13.981275373847716 0.9082286926934968
35 29.70253145264225 18.37320541163559 28.456591660593308 18.10816036479501 0.9517064080662369
40 28.443613691855518 18.008000200165256 27.355504702448926 17.59932370744983 0.9456863068798508
45 26.17021720265373 22.114655672068203 24.8848958725848 21.735418493718722 1.041119085046796
50 28.766778137967705 16.51438309954513 26.940063648475284 16.75478535518951 1.0301906077873104
55 26.12846849526238 21.132685165685466 24.713774895464653 20.762418713409335 1.000766113465586
60 28.380237438412042 20.847343627740422 26.141746282842156 20.619720147433284 1.0019094005749274
65 27.972826232092498 17.898280718212792 27.220351659638922 17.599845792543068 0.9620434609425399
70 26.923885358629878 18.011250011493363 25.70008773713893 17.27122406089022 1.0433037085763452
75 31.343036056769375 10.825416516134243 30.122705593959786 9.814683320319277 1.0163328621129122
80 nan nan nan nan nan
85 24.915609472635573 22.968084146409318 23.78222158108562 23.333689491949382 1.0310401323597802
90 27.597385654597183 19.034556379186355 26.215009312775997 18.618181406016937 0.9719298565121488
95 28.29577524214035 16.018896259578288 26.347946080718234 16.09895593949585 1.1434848138598894
100 32.12060390886661 10.333483954531617 30.903137921898768 10.041171025091906 1.076596141464017
105 28.259596870900168 16.909524728799223 26.51797604991391 16.858406646279224 1.147513061630287
110 27.678173799107856 18.178482116171438 26.03159504222749 18.406703401022856 1.0959825689162255
115 29.933907321609777 14.456574678280042 28.661422645962872 14.680643956721369 1.101003991033754
120 30.42215032158159 14.566697199732 30.017577634009207 12.534260479037084 1.0578854562220918
125 nan nan nan nan nan
130 26.08512538703114 21.541429437096493 24.94638185036441 20.97183820980461 1.2138178170150755
135 22.05535016100948 25.474695862062287 21.09373554164336 24.01719904452479 1.165072694586685
140 28.79832557124699 16.88017173293323 27.82128584783336 16.540678246477736 1.0397257595917797
145 30.153334360523964 13.579984957037425 29.337572212988576 12.80782040169168 1.1914002271087858
