Tchar lag e_lag cent e_cent e_GP
10 34.27 1.804743749123404 31.15268 4.087219448182346 0.6390199999999999
20 34.06 1.7018813119603846 31.21833 4.611710095084035 0.7631300000000002
30 33.98 1.8972611839174909 31.94304 4.440401898297045 0.77821
40 34.14 2.724041115695576 33.7151 5.7943131197752855 0.88369
50 34.2 3.4899856733230297 34.598240000000004 6.959145679061477 0.9085999999999999
60 35.41 2.9498983033318287 36.95451 7.666428226358086 1.03409
70 34.61514285714286 5.6128387157462125 36.633808 10.51630188333979 1.024136
80 35.38 5.116209534411193 37.69122 9.975064292103585 1.08754
90 36.31945945945946 8.260562558996112 36.00586378378378 8.704486629950381 1.0038224324324325
100 35.21 3.589693580237734 37.28252 7.457534948600644 1.11274
110 35.73841864224138 2.6780173035726555 39.683255441810346 10.165354176436242 1.227648464439655
120 35.75 5.759123197154233 38.52607 9.524831094833127 1.1527500000000002
130 35.95 6.8196407530015835 38.60139 11.492980552402411 1.18286
140 35.48 5.002959124358304 39.392610000000005 11.38404792760027 1.1880300000000001
