# (for E(b-v) = 0.03, assuming Seaton reddding law.
   wavelength
     (A)          scale factor  
  9.0000006E+02  1.6103271E+00
  9.0100000E+02  1.6084585E+00
  9.0200000E+02  1.6066002E+00
  9.0300000E+02  1.6047521E+00
  9.0400000E+02  1.6029142E+00
  9.0500000E+02  1.6010865E+00
  9.0600000E+02  1.5992686E+00
  9.0700000E+02  1.5974607E+00
  9.0800000E+02  1.5956630E+00
  9.0899994E+02  1.5938748E+00
  9.1000000E+02  1.5920963E+00
  9.1100000E+02  1.5903276E+00
  9.1200000E+02  1.5885687E+00
  9.1300006E+02  1.5868191E+00
  9.1400000E+02  1.5850792E+00
  9.1500000E+02  1.5833486E+00
  9.1600000E+02  1.5816274E+00
  9.1700000E+02  1.5799155E+00
  9.1799994E+02  1.5782130E+00
  9.1900000E+02  1.5765196E+00
  9.2000000E+02  1.5748351E+00
  9.2100000E+02  1.5731601E+00
  9.2200006E+02  1.5714936E+00
  9.2300000E+02  1.5698361E+00
  9.2400000E+02  1.5681877E+00
  9.2500000E+02  1.5665481E+00
  9.2600000E+02  1.5649171E+00
  9.2700000E+02  1.5632951E+00
  9.2800000E+02  1.5616815E+00
  9.2900000E+02  1.5600765E+00
  9.3000000E+02  1.5584803E+00
  9.3099994E+02  1.5568923E+00
  9.3200000E+02  1.5553128E+00
  9.3300000E+02  1.5537416E+00
  9.3400000E+02  1.5521786E+00
  9.3500006E+02  1.5506241E+00
  9.3600000E+02  1.5490776E+00
  9.3700000E+02  1.5475395E+00
  9.3800000E+02  1.5460093E+00
  9.3900000E+02  1.5444872E+00
  9.3999994E+02  1.5429732E+00
  9.4100000E+02  1.5414670E+00
  9.4200000E+02  1.5399686E+00
  9.4300000E+02  1.5384781E+00
  9.4400006E+02  1.5369956E+00
  9.4500000E+02  1.5355207E+00
  9.4600000E+02  1.5340533E+00
  9.4700000E+02  1.5325937E+00
  9.4800000E+02  1.5311419E+00
  9.4900000E+02  1.5296974E+00
  9.5000000E+02  1.5282605E+00
  9.5100000E+02  1.5268309E+00
  9.5200000E+02  1.5254089E+00
  9.5299994E+02  1.5239941E+00
  9.5400000E+02  1.5225866E+00
  9.5500000E+02  1.5211862E+00
  9.5600000E+02  1.5197935E+00
  9.5700006E+02  1.5184075E+00
  9.5800000E+02  1.5170288E+00
  9.5900000E+02  1.5156572E+00
  9.6000000E+02  1.5142926E+00
  9.6100000E+02  1.5129350E+00
  9.6199994E+02  1.5115845E+00
  9.6300000E+02  1.5102407E+00
  9.6400000E+02  1.5089037E+00
  9.6500000E+02  1.5075737E+00
  9.6600006E+02  1.5062504E+00
  9.6700000E+02  1.5049338E+00
  9.6800000E+02  1.5036240E+00
  9.6900000E+02  1.5023208E+00
  9.7000000E+02  1.5010241E+00
  9.7100000E+02  1.4997340E+00
  9.7200000E+02  1.4984505E+00
  9.7300000E+02  1.4971737E+00
  9.7400000E+02  1.4959031E+00
  9.7499994E+02  1.4946389E+00
  9.7600000E+02  1.4933811E+00
  9.7700000E+02  1.4921296E+00
  9.7800000E+02  1.4908845E+00
  9.7900006E+02  1.4896456E+00
  9.8000000E+02  1.4884129E+00
  9.8100000E+02  1.4871863E+00
  9.8200000E+02  1.4859660E+00
  9.8300000E+02  1.4847516E+00
  9.8399994E+02  1.4835435E+00
  9.8500000E+02  1.4823413E+00
  9.8600000E+02  1.4811450E+00
  9.8700000E+02  1.4799548E+00
  9.8800006E+02  1.4787705E+00
  9.8900000E+02  1.4775921E+00
  9.9000000E+02  1.4764194E+00
  9.9100000E+02  1.4752527E+00
  9.9200000E+02  1.4740918E+00
  9.9300000E+02  1.4729365E+00
  9.9400000E+02  1.4717870E+00
  9.9500000E+02  1.4706432E+00
  9.9600000E+02  1.4695051E+00
  9.9699994E+02  1.4683725E+00
  9.9800000E+02  1.4672456E+00
  9.9900000E+02  1.4661239E+00
  1.0000000E+03  1.4650081E+00
  1.0010001E+03  1.4638977E+00
  1.0020000E+03  1.4627925E+00
  1.0030000E+03  1.4616930E+00
  1.0040000E+03  1.4605988E+00
  1.0050000E+03  1.4595100E+00
  1.0059999E+03  1.4584265E+00
  1.0070000E+03  1.4573482E+00
  1.0080000E+03  1.4562752E+00
  1.0090000E+03  1.4552075E+00
  1.0100001E+03  1.4541450E+00
  1.0110000E+03  1.4530874E+00
  1.0120000E+03  1.4520353E+00
  1.0130000E+03  1.4509881E+00
  1.0140000E+03  1.4499462E+00
  1.0150000E+03  1.4489090E+00
  1.0160000E+03  1.4478770E+00
  1.0170000E+03  1.4468502E+00
  1.0180000E+03  1.4458281E+00
  1.0189999E+03  1.4448111E+00
  1.0200000E+03  1.4437988E+00
  1.0210000E+03  1.4427913E+00
  1.0220000E+03  1.4417892E+00
  1.0230001E+03  1.4407915E+00
  1.0240000E+03  1.4397986E+00
  1.0250000E+03  1.4388105E+00
  1.0260000E+03  1.4378272E+00
  1.0270000E+03  1.4368486E+00
  1.0280000E+03  1.4358747E+00
  1.0290000E+03  1.4349054E+00
  1.0300000E+03  1.4339408E+00
  1.0310000E+03  1.4329809E+00
  1.0320000E+03  1.4320254E+00
  1.0330000E+03  1.4310745E+00
  1.0340000E+03  1.4301281E+00
  1.0350000E+03  1.4291865E+00
  1.0360000E+03  1.4282490E+00
  1.0370000E+03  1.4273161E+00
  1.0380000E+03  1.4263875E+00
  1.0390000E+03  1.4254634E+00
  1.0400000E+03  1.4245439E+00
  1.0410000E+03  1.4236286E+00
  1.0420000E+03  1.4227176E+00
  1.0430000E+03  1.4218107E+00
  1.0440000E+03  1.4209086E+00
  1.0450000E+03  1.4200104E+00
  1.0460000E+03  1.4191164E+00
  1.0470000E+03  1.4182268E+00
  1.0480000E+03  1.4173412E+00
  1.0490000E+03  1.4164600E+00
  1.0500000E+03  1.4155827E+00
  1.0510000E+03  1.4147096E+00
  1.0520000E+03  1.4138407E+00
  1.0530000E+03  1.4129759E+00
  1.0540000E+03  1.4121151E+00
  1.0550000E+03  1.4112582E+00
  1.0560000E+03  1.4104054E+00
  1.0570000E+03  1.4095566E+00
  1.0580000E+03  1.4087119E+00
  1.0590000E+03  1.4078709E+00
  1.0600000E+03  1.4070340E+00
  1.0610000E+03  1.4062009E+00
  1.0620000E+03  1.4053718E+00
  1.0630000E+03  1.4045465E+00
  1.0640000E+03  1.4037251E+00
  1.0650000E+03  1.4029074E+00
  1.0660000E+03  1.4020935E+00
  1.0670000E+03  1.4012835E+00
  1.0680000E+03  1.4004773E+00
  1.0690000E+03  1.3996745E+00
  1.0700000E+03  1.3988757E+00
  1.0710000E+03  1.3980806E+00
  1.0720000E+03  1.3972892E+00
  1.0730000E+03  1.3965013E+00
  1.0740000E+03  1.3957170E+00
  1.0750000E+03  1.3949367E+00
  1.0760000E+03  1.3941596E+00
  1.0770000E+03  1.3933862E+00
  1.0780000E+03  1.3926164E+00
  1.0790000E+03  1.3918502E+00
  1.0800000E+03  1.3910874E+00
  1.0810000E+03  1.3903282E+00
  1.0820000E+03  1.3895724E+00
  1.0830000E+03  1.3888202E+00
  1.0840000E+03  1.3880714E+00
  1.0850000E+03  1.3873260E+00
  1.0860000E+03  1.3865839E+00
  1.0870000E+03  1.3858453E+00
  1.0880000E+03  1.3851103E+00
  1.0890000E+03  1.3843783E+00
  1.0900000E+03  1.3836499E+00
  1.0910000E+03  1.3829247E+00
  1.0920000E+03  1.3822029E+00
  1.0930000E+03  1.3814843E+00
  1.0940000E+03  1.3807690E+00
  1.0950000E+03  1.3800570E+00
  1.0960000E+03  1.3793480E+00
  1.0970000E+03  1.3786426E+00
  1.0980000E+03  1.3779402E+00
  1.0990000E+03  1.3772410E+00
  1.1000000E+03  1.3765450E+00
  1.1010000E+03  1.3758522E+00
  1.1020000E+03  1.3751625E+00
  1.1030000E+03  1.3744760E+00
  1.1040000E+03  1.3737925E+00
  1.1050000E+03  1.3731122E+00
  1.1060000E+03  1.3724350E+00
  1.1070000E+03  1.3717607E+00
  1.1080000E+03  1.3710895E+00
  1.1090000E+03  1.3704213E+00
  1.1100000E+03  1.3697562E+00
  1.1110000E+03  1.3690941E+00
  1.1120000E+03  1.3684349E+00
  1.1130000E+03  1.3677788E+00
  1.1140000E+03  1.3671256E+00
  1.1150000E+03  1.3664753E+00
  1.1160000E+03  1.3658280E+00
  1.1170000E+03  1.3651835E+00
  1.1180000E+03  1.3645420E+00
  1.1190000E+03  1.3639034E+00
  1.1200000E+03  1.3632675E+00
  1.1210000E+03  1.3626345E+00
  1.1220000E+03  1.3620044E+00
  1.1230000E+03  1.3613772E+00
  1.1240000E+03  1.3607527E+00
  1.1250000E+03  1.3601310E+00
  1.1260000E+03  1.3595122E+00
  1.1270000E+03  1.3588960E+00
  1.1280000E+03  1.3582827E+00
  1.1290000E+03  1.3576721E+00
  1.1300000E+03  1.3570641E+00
  1.1310000E+03  1.3564589E+00
  1.1320000E+03  1.3558564E+00
  1.1330000E+03  1.3552568E+00
  1.1340000E+03  1.3546596E+00
  1.1350000E+03  1.3540651E+00
  1.1360000E+03  1.3534732E+00
  1.1370000E+03  1.3528841E+00
  1.1380000E+03  1.3522974E+00
  1.1390000E+03  1.3517135E+00
  1.1400000E+03  1.3511320E+00
  1.1410000E+03  1.3505534E+00
  1.1420000E+03  1.3499773E+00
  1.1430000E+03  1.3494034E+00
  1.1440000E+03  1.3488324E+00
  1.1450000E+03  1.3482639E+00
  1.1460000E+03  1.3476976E+00
  1.1470000E+03  1.3471342E+00
  1.1480000E+03  1.3465731E+00
  1.1490000E+03  1.3460145E+00
  1.1500000E+03  1.3454584E+00
  1.1510000E+03  1.3449048E+00
  1.1520000E+03  1.3443534E+00
  1.1530000E+03  1.3438047E+00
  1.1540000E+03  1.3432585E+00
  1.1550000E+03  1.3427144E+00
  1.1560000E+03  1.3421729E+00
  1.1570000E+03  1.3416338E+00
  1.1580000E+03  1.3410969E+00
  1.1590000E+03  1.3405626E+00
  1.1600000E+03  1.3400306E+00
  1.1610000E+03  1.3395008E+00
  1.1620000E+03  1.3389735E+00
  1.1630000E+03  1.3384483E+00
  1.1640000E+03  1.3379257E+00
  1.1650000E+03  1.3374052E+00
  1.1660000E+03  1.3368870E+00
  1.1670000E+03  1.3363712E+00
  1.1680000E+03  1.3358575E+00
  1.1690000E+03  1.3353461E+00
  1.1700000E+03  1.3348370E+00
  1.1710000E+03  1.3343301E+00
  1.1720000E+03  1.3338255E+00
  1.1730000E+03  1.3333229E+00
  1.1740000E+03  1.3328227E+00
  1.1750000E+03  1.3323246E+00
  1.1760000E+03  1.3318287E+00
  1.1770000E+03  1.3313349E+00
  1.1780000E+03  1.3308433E+00
  1.1790000E+03  1.3303540E+00
  1.1800000E+03  1.3298668E+00
  1.1810000E+03  1.3293817E+00
  1.1820000E+03  1.3288987E+00
  1.1830000E+03  1.3284178E+00
  1.1840000E+03  1.3279389E+00
  1.1850000E+03  1.3274622E+00
  1.1860000E+03  1.3269875E+00
  1.1870000E+03  1.3265150E+00
  1.1880000E+03  1.3260444E+00
  1.1890000E+03  1.3255759E+00
  1.1900000E+03  1.3251095E+00
  1.1910000E+03  1.3246452E+00
  1.1920000E+03  1.3241829E+00
  1.1930000E+03  1.3237224E+00
  1.1940000E+03  1.3232641E+00
  1.1950000E+03  1.3228078E+00
  1.1960000E+03  1.3223534E+00
  1.1970000E+03  1.3219010E+00
  1.1980000E+03  1.3214507E+00
  1.1990000E+03  1.3210021E+00
  1.2000000E+03  1.3205556E+00
  1.2010000E+03  1.3201110E+00
  1.2020000E+03  1.3196683E+00
  1.2030000E+03  1.3192277E+00
  1.2040000E+03  1.3187888E+00
  1.2050000E+03  1.3183520E+00
  1.2060000E+03  1.3179169E+00
  1.2070000E+03  1.3174838E+00
  1.2080000E+03  1.3170526E+00
  1.2090000E+03  1.3166232E+00
  1.2100000E+03  1.3161956E+00
  1.2110000E+03  1.3157700E+00
  1.2120000E+03  1.3153461E+00
  1.2130000E+03  1.3149242E+00
  1.2140000E+03  1.3145040E+00
  1.2150000E+03  1.3140856E+00
  1.2160000E+03  1.3136692E+00
  1.2170000E+03  1.3132545E+00
  1.2180000E+03  1.3128415E+00
  1.2190000E+03  1.3124304E+00
  1.2200000E+03  1.3120210E+00
  1.2210000E+03  1.3116134E+00
  1.2220000E+03  1.3112077E+00
  1.2230000E+03  1.3108035E+00
  1.2240000E+03  1.3104012E+00
  1.2250000E+03  1.3100005E+00
  1.2260000E+03  1.3096018E+00
  1.2270000E+03  1.3092046E+00
  1.2280000E+03  1.3088093E+00
  1.2290000E+03  1.3084155E+00
  1.2300000E+03  1.3080235E+00
  1.2310000E+03  1.3076332E+00
  1.2320000E+03  1.3072445E+00
  1.2330000E+03  1.3068576E+00
  1.2340000E+03  1.3064724E+00
  1.2350000E+03  1.3060887E+00
  1.2360000E+03  1.3057067E+00
  1.2370000E+03  1.3053263E+00
  1.2380000E+03  1.3049477E+00
  1.2390000E+03  1.3045707E+00
  1.2400000E+03  1.3041953E+00
  1.2410000E+03  1.3038214E+00
  1.2420000E+03  1.3034493E+00
  1.2430000E+03  1.3030788E+00
  1.2440000E+03  1.3027097E+00
  1.2450000E+03  1.3023423E+00
  1.2460000E+03  1.3019764E+00
  1.2470000E+03  1.3016121E+00
  1.2480000E+03  1.3012495E+00
  1.2490000E+03  1.3008884E+00
  1.2500000E+03  1.3005289E+00
  1.2510000E+03  1.3001709E+00
  1.2520000E+03  1.2998145E+00
  1.2530000E+03  1.2994596E+00
  1.2540001E+03  1.2991062E+00
  1.2549999E+03  1.2987543E+00
  1.2560000E+03  1.2984039E+00
  1.2570000E+03  1.2980551E+00
  1.2580000E+03  1.2977077E+00
  1.2590000E+03  1.2973619E+00
  1.2600000E+03  1.2970175E+00
  1.2610000E+03  1.2966746E+00
  1.2620000E+03  1.2963332E+00
  1.2630001E+03  1.2959933E+00
  1.2640000E+03  1.2956548E+00
  1.2650000E+03  1.2953178E+00
  1.2660000E+03  1.2949822E+00
  1.2670000E+03  1.2946481E+00
  1.2680000E+03  1.2943155E+00
  1.2690000E+03  1.2939842E+00
  1.2700000E+03  1.2936543E+00
  1.2710000E+03  1.2933260E+00
  1.2720001E+03  1.2929989E+00
  1.2730000E+03  1.2926733E+00
  1.2740000E+03  1.2923492E+00
  1.2750000E+03  1.2920264E+00
  1.2760000E+03  1.2917050E+00
  1.2770000E+03  1.2913849E+00
  1.2780000E+03  1.2910663E+00
  1.2790000E+03  1.2907491E+00
  1.2800000E+03  1.2904332E+00
  1.2809999E+03  1.2901187E+00
  1.2820000E+03  1.2898054E+00
  1.2830000E+03  1.2894937E+00
  1.2840000E+03  1.2891831E+00
  1.2850000E+03  1.2888740E+00
  1.2860000E+03  1.2885661E+00
  1.2870000E+03  1.2882596E+00
  1.2880000E+03  1.2879544E+00
  1.2890001E+03  1.2876506E+00
  1.2899999E+03  1.2873480E+00
  1.2910000E+03  1.2870467E+00
  1.2920000E+03  1.2867469E+00
  1.2930000E+03  1.2864481E+00
  1.2940000E+03  1.2861507E+00
  1.2950000E+03  1.2858547E+00
  1.2960000E+03  1.2855599E+00
  1.2970000E+03  1.2852663E+00
  1.2980001E+03  1.2849740E+00
  1.2989999E+03  1.2846830E+00
  1.3000000E+03  1.2843932E+00
  1.3010000E+03  1.2841047E+00
  1.3020000E+03  1.2838174E+00
  1.3030000E+03  1.2835314E+00
  1.3040000E+03  1.2832466E+00
  1.3050000E+03  1.2829630E+00
  1.3060000E+03  1.2826806E+00
  1.3070001E+03  1.2823994E+00
  1.3079999E+03  1.2821196E+00
  1.3090000E+03  1.2818409E+00
  1.3100000E+03  1.2815633E+00
  1.3110000E+03  1.2812870E+00
  1.3120000E+03  1.2810119E+00
  1.3130000E+03  1.2807380E+00
  1.3140000E+03  1.2804652E+00
  1.3150000E+03  1.2801937E+00
  1.3160001E+03  1.2799233E+00
  1.3170000E+03  1.2796541E+00
  1.3180000E+03  1.2793859E+00
  1.3190000E+03  1.2791190E+00
  1.3200000E+03  1.2788533E+00
  1.3210000E+03  1.2785887E+00
  1.3220000E+03  1.2783252E+00
  1.3230000E+03  1.2780629E+00
  1.3240000E+03  1.2778018E+00
  1.3249999E+03  1.2775416E+00
  1.3260000E+03  1.2772827E+00
  1.3270000E+03  1.2770250E+00
  1.3280000E+03  1.2767682E+00
  1.3290000E+03  1.2765126E+00
  1.3300000E+03  1.2762582E+00
  1.3310000E+03  1.2760048E+00
  1.3320000E+03  1.2757527E+00
  1.3330001E+03  1.2755014E+00
  1.3339999E+03  1.2752514E+00
  1.3350000E+03  1.2750024E+00
  1.3360000E+03  1.2747544E+00
  1.3370000E+03  1.2745075E+00
  1.3380000E+03  1.2742618E+00
  1.3390000E+03  1.2740171E+00
  1.3400000E+03  1.2737734E+00
  1.3410000E+03  1.2735308E+00
  1.3420001E+03  1.2732893E+00
  1.3429999E+03  1.2730489E+00
  1.3440000E+03  1.2728094E+00
  1.3450000E+03  1.2725710E+00
  1.3460000E+03  1.2723336E+00
  1.3470000E+03  1.2720973E+00
  1.3480000E+03  1.2718620E+00
  1.3490000E+03  1.2716278E+00
  1.3500000E+03  1.2713945E+00
  1.3510001E+03  1.2711623E+00
  1.3519999E+03  1.2709311E+00
  1.3530000E+03  1.2707008E+00
  1.3540000E+03  1.2704717E+00
  1.3550000E+03  1.2702435E+00
  1.3560000E+03  1.2700163E+00
  1.3570000E+03  1.2697901E+00
  1.3580000E+03  1.2695649E+00
  1.3590000E+03  1.2693406E+00
  1.3600001E+03  1.2691174E+00
  1.3610000E+03  1.2688950E+00
  1.3620000E+03  1.2686738E+00
  1.3630000E+03  1.2684534E+00
  1.3640000E+03  1.2682340E+00
  1.3650000E+03  1.2680156E+00
  1.3660000E+03  1.2677982E+00
  1.3670000E+03  1.2675816E+00
  1.3680000E+03  1.2673662E+00
  1.3689999E+03  1.2671515E+00
  1.3700000E+03  1.2669379E+00
  1.3710000E+03  1.2667251E+00
  1.3720000E+03  1.2665132E+00
  1.3730000E+03  1.2663023E+00
  1.3740000E+03  1.2660925E+00
  1.3750000E+03  1.2658834E+00
  1.3760000E+03  1.2656753E+00
  1.3770001E+03  1.2654682E+00
  1.3779999E+03  1.2652620E+00
  1.3790000E+03  1.2650565E+00
  1.3800000E+03  1.2648522E+00
  1.3810000E+03  1.2646486E+00
  1.3820000E+03  1.2644459E+00
  1.3830000E+03  1.2642442E+00
  1.3840000E+03  1.2640433E+00
  1.3850000E+03  1.2638434E+00
  1.3860001E+03  1.2636442E+00
  1.3869999E+03  1.2634461E+00
  1.3880000E+03  1.2632487E+00
  1.3890000E+03  1.2630522E+00
  1.3900000E+03  1.2628567E+00
  1.3910000E+03  1.2626619E+00
  1.3920000E+03  1.2624681E+00
  1.3930000E+03  1.2622751E+00
  1.3940000E+03  1.2620829E+00
  1.3950001E+03  1.2618916E+00
  1.3959999E+03  1.2617012E+00
  1.3970000E+03  1.2615117E+00
  1.3980000E+03  1.2613229E+00
  1.3990000E+03  1.2611350E+00
  1.4000000E+03  1.2609479E+00
  1.4010000E+03  1.2610065E+00
  1.4020000E+03  1.2608763E+00
  1.4030000E+03  1.2607465E+00
  1.4040001E+03  1.2606168E+00
  1.4050000E+03  1.2604876E+00
  1.4060000E+03  1.2603586E+00
  1.4070000E+03  1.2602299E+00
  1.4080000E+03  1.2601016E+00
  1.4090000E+03  1.2599735E+00
  1.4100000E+03  1.2598457E+00
  1.4110000E+03  1.2597184E+00
  1.4120000E+03  1.2595913E+00
  1.4129999E+03  1.2594646E+00
  1.4140000E+03  1.2593381E+00
  1.4150000E+03  1.2592119E+00
  1.4160000E+03  1.2590861E+00
  1.4170000E+03  1.2589606E+00
  1.4180000E+03  1.2588354E+00
  1.4190000E+03  1.2587105E+00
  1.4200000E+03  1.2585858E+00
  1.4210001E+03  1.2584616E+00
  1.4219999E+03  1.2583376E+00
  1.4230000E+03  1.2582140E+00
  1.4240000E+03  1.2580906E+00
  1.4250000E+03  1.2579676E+00
  1.4260000E+03  1.2578448E+00
  1.4270000E+03  1.2577225E+00
  1.4280000E+03  1.2576004E+00
  1.4290000E+03  1.2574786E+00
  1.4300001E+03  1.2573572E+00
  1.4309999E+03  1.2572360E+00
  1.4320000E+03  1.2571152E+00
  1.4330000E+03  1.2569946E+00
  1.4340000E+03  1.2568744E+00
  1.4350000E+03  1.2567545E+00
  1.4360000E+03  1.2566350E+00
  1.4370000E+03  1.2565156E+00
  1.4380000E+03  1.2563968E+00
  1.4390001E+03  1.2562780E+00
  1.4399999E+03  1.2561597E+00
  1.4410000E+03  1.2560418E+00
  1.4420000E+03  1.2559240E+00
  1.4430000E+03  1.2558066E+00
  1.4440000E+03  1.2556894E+00
  1.4450000E+03  1.2555727E+00
  1.4460000E+03  1.2554562E+00
  1.4470000E+03  1.2553400E+00
  1.4480001E+03  1.2552242E+00
  1.4490000E+03  1.2551087E+00
  1.4500000E+03  1.2549934E+00
  1.4510000E+03  1.2548785E+00
  1.4520000E+03  1.2547640E+00
  1.4530000E+03  1.2546496E+00
  1.4540000E+03  1.2545358E+00
  1.4550000E+03  1.2544221E+00
  1.4560000E+03  1.2543088E+00
  1.4569999E+03  1.2541957E+00
  1.4580000E+03  1.2540830E+00
  1.4590000E+03  1.2539706E+00
  1.4600000E+03  1.2538586E+00
  1.4610000E+03  1.2537467E+00
  1.4620000E+03  1.2536353E+00
  1.4630000E+03  1.2535242E+00
  1.4640000E+03  1.2534133E+00
  1.4650001E+03  1.2533028E+00
  1.4659999E+03  1.2531927E+00
  1.4670000E+03  1.2530828E+00
  1.4680000E+03  1.2529732E+00
  1.4690000E+03  1.2528640E+00
  1.4700000E+03  1.2527550E+00
  1.4710000E+03  1.2526464E+00
  1.4720000E+03  1.2525381E+00
  1.4730000E+03  1.2524301E+00
  1.4740001E+03  1.2523224E+00
  1.4749999E+03  1.2522150E+00
  1.4760000E+03  1.2521080E+00
  1.4770000E+03  1.2520013E+00
  1.4780000E+03  1.2518950E+00
  1.4790000E+03  1.2517889E+00
  1.4800000E+03  1.2516831E+00
  1.4810000E+03  1.2515776E+00
  1.4820000E+03  1.2514725E+00
  1.4830001E+03  1.2513677E+00
  1.4839999E+03  1.2512631E+00
  1.4850000E+03  1.2511591E+00
  1.4860000E+03  1.2510551E+00
  1.4870000E+03  1.2509515E+00
  1.4880000E+03  1.2508484E+00
  1.4890000E+03  1.2507454E+00
  1.4900000E+03  1.2506429E+00
  1.4910000E+03  1.2505406E+00
  1.4920001E+03  1.2504387E+00
  1.4930000E+03  1.2503371E+00
  1.4940000E+03  1.2502358E+00
  1.4950000E+03  1.2501347E+00
  1.4960000E+03  1.2500341E+00
  1.4970000E+03  1.2499337E+00
  1.4980000E+03  1.2498338E+00
  1.4990000E+03  1.2497340E+00
  1.5000000E+03  1.2496347E+00
  1.5009999E+03  1.2495357E+00
  1.5020000E+03  1.2494370E+00
  1.5030000E+03  1.2493386E+00
  1.5040000E+03  1.2492405E+00
  1.5050000E+03  1.2491428E+00
  1.5060000E+03  1.2490453E+00
  1.5070000E+03  1.2489482E+00
  1.5080000E+03  1.2488514E+00
  1.5090001E+03  1.2487551E+00
  1.5099999E+03  1.2486589E+00
  1.5110000E+03  1.2485632E+00
  1.5120000E+03  1.2484677E+00
  1.5130000E+03  1.2483726E+00
  1.5140000E+03  1.2482777E+00
  1.5150000E+03  1.2481833E+00
  1.5160000E+03  1.2480891E+00
  1.5170000E+03  1.2479953E+00
  1.5180001E+03  1.2479018E+00
  1.5189999E+03  1.2478086E+00
  1.5200000E+03  1.2477157E+00
  1.5210000E+03  1.2476233E+00
  1.5220000E+03  1.2475312E+00
  1.5230000E+03  1.2474393E+00
  1.5240000E+03  1.2473478E+00
  1.5250000E+03  1.2472566E+00
  1.5260000E+03  1.2471658E+00
  1.5270001E+03  1.2470753E+00
  1.5279999E+03  1.2469852E+00
  1.5290000E+03  1.2468953E+00
  1.5300000E+03  1.2468058E+00
  1.5310000E+03  1.2467166E+00
  1.5320000E+03  1.2466278E+00
  1.5330000E+03  1.2465394E+00
  1.5340000E+03  1.2464513E+00
  1.5350000E+03  1.2463634E+00
  1.5360001E+03  1.2462759E+00
  1.5370000E+03  1.2461889E+00
  1.5380000E+03  1.2461020E+00
  1.5390000E+03  1.2460157E+00
  1.5400000E+03  1.2459295E+00
  1.5410000E+03  1.2458436E+00
  1.5420000E+03  1.2457583E+00
  1.5430000E+03  1.2456732E+00
  1.5440000E+03  1.2455885E+00
  1.5449999E+03  1.2455040E+00
  1.5460000E+03  1.2454201E+00
  1.5470000E+03  1.2453363E+00
  1.5480000E+03  1.2452530E+00
  1.5490000E+03  1.2451700E+00
  1.5500000E+03  1.2450874E+00
  1.5510000E+03  1.2450050E+00
  1.5520000E+03  1.2449230E+00
  1.5530001E+03  1.2448415E+00
  1.5539999E+03  1.2447602E+00
  1.5550000E+03  1.2446792E+00
  1.5560000E+03  1.2445987E+00
  1.5570000E+03  1.2445185E+00
  1.5580000E+03  1.2444386E+00
  1.5590000E+03  1.2443591E+00
  1.5600000E+03  1.2442800E+00
  1.5610000E+03  1.2442012E+00
  1.5620001E+03  1.2441227E+00
  1.5629999E+03  1.2440447E+00
  1.5640000E+03  1.2439669E+00
  1.5650000E+03  1.2438896E+00
  1.5660000E+03  1.2438126E+00
  1.5670000E+03  1.2437359E+00
  1.5680000E+03  1.2436596E+00
  1.5690000E+03  1.2435837E+00
  1.5700000E+03  1.2435081E+00
  1.5710001E+03  1.2434330E+00
  1.5719999E+03  1.2433581E+00
  1.5730000E+03  1.2432836E+00
  1.5740000E+03  1.2432095E+00
  1.5750000E+03  1.2431358E+00
  1.5760000E+03  1.2430624E+00
  1.5770000E+03  1.2429894E+00
  1.5780000E+03  1.2429168E+00
  1.5790000E+03  1.2428446E+00
  1.5800001E+03  1.2427726E+00
  1.5810000E+03  1.2427011E+00
  1.5820000E+03  1.2426299E+00
  1.5830000E+03  1.2425591E+00
